
===== SHEET: xl/worksheets/sheet1.xml =====
UPC	Track Name	Track Explicit (Yes/No/Clean)	Track Version	Release Name	Track Artist Track Artist (Performer)	Track Artist Track Artist (Featuring)	Track Artist Track Artist (Remixer)	Track ISRC	In Catalog	Release Artist (Performer)	Release Artist Release Artist (Featuring)	Release Artist Release Artist (Remixer)	Track Release Date	Product Release Date	Release Format	Release Imprint	Catalog Notes	Release Genre Genre	Subgenre Subgenre	Release C Line	Release UPC	Track Track Number	Track Length Minute	Track Length Seconds		Track P Line	Track Writer Track Writer(s)	Track Publisher Publisher Name(s)	Notes
858157006303	Head	Yes		Head	Nick Hook	21 Savage, Bulletproof Dolphin		QMSDU1600200	Yes	Nick Hook	Bulletproof Dolphin, 21 Savage		42471.0		Single	Fool's Gold Records		Hip-hop/Rap	Hip-Hop	2016 Fool's Gold Records	858157006303	1.0	3.0	4.0		2016 Fool's Gold Records	Nick Conceller		
858157006303	Head	Yes	DJ Earl Remix	Head	Nick Hook	21 Savage, Bulletproof Dolphin	DJ Earl	QMSDU1600257	Yes	Nick Hook	Bulletproof Dolphin, 21 Savage		42471.0		Single	Fool's Gold Records		Hip-hop/Rap	Hip-Hop	2016 Fool's Gold Records	858157006303	2.0	2.0	36.0		2016 Fool's Gold Records	Nick Conceller		
858157006303	Head	No	Nadus Remix	Head	Nick Hook	21 Savage, Bulletproof Dolphin	Nadus	QMSDU1600258	Yes	Nick Hook	Bulletproof Dolphin, 21 Savage		42471.0		Single	Fool's Gold Records		Hip-hop/Rap	Hip-Hop	2016 Fool's Gold Records	858157006303	3.0	5.0	35.0		2016 Fool's Gold Records	Nick Conceller		
852878007014	(+)3	Yes		Relationships	Nick Hook	DJ Paypal, DJ Rashad, Nasty Nigel		QMSDU1600242	Yes	Nick Hook			42675.0		Full Length	Fool's Gold Records		Electronic	Electronic	2016 Fool's Gold Records	852878007014	1.0	3.0	32.0		2016 Fool's Gold Records	Nick Conceller		
852878007014	Pro-Choice	Yes		Relationships	Nick Hook	Black Kray Father, KCSB, Michael Christmas		QMSDU1600243	Yes	Nick Hook			42675.0		Full Length	Fool's Gold Records		Electronic	Electronic	2016 Fool's Gold Records	852878007014	2.0	3.0	45.0		2016 Fool's Gold Records	Nick Conceller		
852878007014	Gucci's	Yes		Relationships	Nick Hook	24Hrs		QMSDU1600244	Yes	Nick Hook			42675.0		Full Length	Fool's Gold Records		Electronic	Electronic	2016 Fool's Gold Records	852878007014	3.0	2.0	39.0		2016 Fool's Gold Records	Nick Conceller		
852878007014	Evolisontherise	No		Relationships	Nick Hook	Hudson Mohawke		QMSDU1600245	Yes	Nick Hook			42675.0		Full Length	Fool's Gold Records		Electronic	Electronic	2016 Fool's Gold Records	852878007014	4.0	0.0	58.0		2016 Fool's Gold Records	Nick Conceller		
852878007014	Another Way	No		Relationships	Nick Hook	Spank Rock		QMSDU1600246	Yes	Nick Hook			42675.0		Full Length	Fool's Gold Records		Electronic	Electronic	2016 Fool's Gold Records	852878007014	5.0	4.0	41.0		2016 Fool's Gold Records	Nick Conceller		
852878007014	Forever	No		Relationships	Nick Hook			QMSDU1600247	Yes	Nick Hook			42675.0		Full Length	Fool's Gold Records		Electronic	Electronic	2016 Fool's Gold Records	852878007014	6.0	0.0	49.0		2016 Fool's Gold Records	Nick Conceller		
852878007014	Dive for You	Yes		Relationships	Nick Hook	Junglepussy, Prefuse 73		QMSDU1600248	Yes	Nick Hook			42675.0		Full Length	Fool's Gold Records		Electronic	Electronic	2016 Fool's Gold Records	852878007014	7.0	2.0	57.0		2016 Fool's Gold Records	Nick Conceller		
