
===== SHEET: xl/worksheets/sheet1.xml =====
Release Vendor Catalog Number	Track Name	Track Explicit (Yes/No/Clean)	Track Version	Release Name	Track Artist Track Artist (Performer)	Track Artist Track Artist (Featuring)	Track Artist Track Artist (Remixer)	Track ISRC	In Catalog	Release Artist (Performer)	Release Artist Release Artist (Featuring)	Release Artist Release Artist (Remixer)	Track Release Date	Product Release Date	Release Format	Release Imprint	Current Distributor	Territory Rights	Fool's Gold Territories	Release Genre Genre	Subgenre Subgenre	Release C Line	Release UPC	Track Track Number	Track Length Minute	Track Length Seconds		Track P Line	Track Writer Track Writer(s)	Track Publisher Publisher Name(s)	Notes
856730003008	Yellow Spaceship Pt. 2	No		Follow Your Heart	Cubic Zirconia			USYBL1100481	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	1.0	3.0	37.0		2011 Fool's Gold Records	Daud Sturdivant, Nicholas Conceller, Tiombe Lockhart		
856730003008	Darko	No		Follow Your Heart	Cubic Zirconia			USYBL1100482	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	2.0	4.0	16.0		2011 Fool's Gold Records	Daud Sturdivant, Nicholas Conceller, Tiombe Lockhart		
856730003008	Black Hole	No		Follow Your Heart	Cubic Zirconia			USYBL1100483	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	3.0	3.0	47.0		2011 Fool's Gold Records	Daud Sturdivant, Nicholas Conceller, Tiombe Lockhart		
856730003008	Summertime	No		Follow Your Heart	Cubic Zirconia			USYBL1100484	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	4.0	3.0	22.0		2011 Fool's Gold Records	Nicholas Conceller, Daud Sturdivant, Tiombe Lockhart		
856730003008	Treats	No		Follow Your Heart	Cubic Zirconia			USYBL1100485	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	5.0	1.0	23.0		2011 Fool's Gold Records	Tiombe Lockhart, Daud Sturdivant, Nicholas Conceller		
856730003008	Take Me High	No		Follow Your Heart	Cubic Zirconia			USYBL1100486	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	6.0	3.0	13.0		2011 Fool's Gold Records	Nicholas Conceller, Tiombe Lockhart, Daud Sturdivant		
856730003008	Freebase You	No		Follow Your Heart	Cubic Zirconia			USYBL1100487	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	7.0	3.0	18.0		2011 Fool's Gold Records	Tiombe Lockhart, Nicholas Conceller, Daud Sturdivant		
856730003008	Follow Your Heart	No		Follow Your Heart	Cubic Zirconia			USYBL1100488	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	8.0	4.0	51.0		2011 Fool's Gold Records	Daud Sturdivant, Tiombe Lockhart, Nicholas Conceller		
856730003008	Cherry Nights	No		Follow Your Heart	Cubic Zirconia	Coltrane		USYBL1100489	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	9.0	4.0	11.0		2011 Fool's Gold Records	Tiombe Lockhart, Nicholas Conceller, Daud Sturdivant		
856730003008	Runnin in and out of Love	No		Follow Your Heart	Cubic Zirconia	Drop The Lime		USYBL1100490	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	10.0	4.0	19.0		2011 Fool's Gold Records	Nicholas Conceller, Daud Sturdivant, Tiombe Lockhart		
856730003008	Don't Be Scared of My Love	No		Follow Your Heart	Cubic Zirconia			USYBL1100491	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	11.0	3.0	34.0		2011 Fool's Gold Records	Tiombe Lockhart, Daud Sturdivant, Nicholas Conceller		
856730003008	I Got What You Need	No		Follow Your Heart	Cubic Zirconia	Dâm-Funk		USYBL1100492	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	12.0	3.0	56.0		2011 Fool's Gold Records	Daud Sturdivant, Nicholas Conceller, Tiombe Lockhart		
856730003008	Night or Day	No		Follow Your Heart	Cubic Zirconia	Bilal		USYBL1100493	Yes	Cubic Zirconia			40806.0		Full Length	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003008	13.0	5.0	32.0		2011 Fool's Gold Records	Nicholas Conceller, Daud Sturdivant, Tiombe Lockhart		
856730003091	Take Me High	No	Bart B More Remix	Take Me High	Cubic Zirconia		Bart B More	USYBL1100910	Yes	Cubic Zirconia			40869.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003091	1.0	7.0	0.0		2011 Fool's Gold Records	Nicholas Conceller, Daud Sturdivant, Tiombe Lockhart		
856730003091	Take Me High	No	Bar B More Remix Edit	Take Me High	Cubic Zirconia		Bart B More	USYBL1100911	Yes	Cubic Zirconia			40869.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003091	2.0	3.0	7.0		2011 Fool's Gold Records	Daud Sturdivant, Tiombe Lockhart, Nicholas Conceller		
856730003091	Take Me High	No		Take Me High	Cubic Zirconia			USYBL1100912	Yes	Cubic Zirconia			40869.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003091	3.0	3.0	13.0		2011 Fool's Gold Records	Nicholas Conceller, Tiombe Lockhart, Daud Sturdivant		
856730003091	Take Me High	No	Instrumental	Take Me High	Cubic Zirconia			USYBL1100913	Yes	Cubic Zirconia			40869.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003091	4.0	3.0	13.0		2011 Fool's Gold Records	Nicholas Conceller, Daud Sturdivant, Tiombe Lockhart		
856730003091	Take Me High	No	Acapella	Take Me High	Cubic Zirconia			USYBL1100914	Yes	Cubic Zirconia			40869.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2011 Fool's Gold Records	856730003091	5.0	3.0	12.0		2011 Fool's Gold Records	Nicholas Conceller, Tiombe Lockhart, Daud Sturdivant		
856730003381	Darko	No		Darko	Cubic Zirconia			USYBL1100482	Yes	Cubic Zirconia			41114.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2012 Fool's Gold Records	856730003381	1.0	4.0	16.0		2012 Fool's Gold Records	Nicholas Conceller, Daud Sturdivant, Tiombe Lockhart		
856730003381	Darko	No	Tommy Trash Remix	Darko	Cubic Zirconia		Tommy Trash	QMSDU1200083	Yes	Cubic Zirconia			41114.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2012 Fool's Gold Records	856730003381	2.0	5.0	0.0		2012 Fool's Gold Records	Nicholas Conceller, Tiombe Lockhart, Daud Sturdivant		
856730003381	Darko	No	Tony Senghore Thrashy 3am Remix	Darko	Cubic Zirconia		Tony Senghore	QMSDU1200084	Yes	Cubic Zirconia			41114.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2012 Fool's Gold Records	856730003381	3.0	6.0	28.0		2012 Fool's Gold Records	Tiombe Lockhart, Daud Sturdivant, Nicholas Conceller		
856730003381	Darko	No	Tony Senghore Deep Remix	Darko	Cubic Zirconia		Tony Senghore	QMSDU1200085	Yes	Cubic Zirconia			41114.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2012 Fool's Gold Records	856730003381	4.0	6.0	32.0		2012 Fool's Gold Records	Nicholas Conceller, Daud Sturdivant, Tiombe Lockhart		
856730003381	Darko	No	Instrumental	Darko	Cubic Zirconia			QMSDU1200086	Yes	Cubic Zirconia			41114.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2012 Fool's Gold Records	856730003381	5.0	4.0	40.0		2012 Fool's Gold Records	Tiombe Lockhart, Nicholas Conceller, Daud Sturdivant		
856730003381	Darko	No	Accapella	Darko	Cubic Zirconia			QMSDU1200087	Yes	Cubic Zirconia			41114.0		EP	Fool's Gold Records	The Orchard			Electronic	Dance	2012 Fool's Gold Records	856730003381	6.0	4.0	0.0		2012 Fool's Gold Records	Nicholas Conceller, Daud Sturdivant, Tiombe Lockhart		
																							2017 Fool's Gold Records	Nick Conceller		
																							2017 Fool's Gold Records	Nick Conceller		
																							2017 Fool's Gold Records	Nick Conceller		
																							2017 Fool's Gold Records	Nick Conceller		
																							2017 Fool's Gold Records	Nick Conceller		
																							2017 Fool's Gold Records	Nick Conceller		
